Question,Category,Success,runtime beats,memory beats,Level,Calls library?,success 2nd try,,Language,why fail
Maximum Depth of Binary Tree,Trees,Yes,53.28,50.8,Easy,,,,Python,
Validate Binary Search Tree,Trees,Yes,89.16,71.47,Easy,,,,Python,
Symmetric Tree,Trees,Yes,79.14,52.07,Easy,,,,Python,
Binary Tree Level Order Traversal,Trees,Yes,21.58,75.31,Easy,,,,Python,
Convert Sorted Array to Binary Search Tree,Trees,Yes,41.98,71.04,Easy,,,,Python,
Reverse String,Strings,Yes,74.74,36.88,Easy,,,,Python,
Reverse Integer,Strings,Yes,89.08,52.68,Easy,,,,Python,
First Unique Character in a String,Strings,Yes,51.06,13.02,Easy,,,,Python,
Valid Anagram,Strings,Yes,80.35,60.47,Easy,,,,Python,
Valid Palindrome,Strings,Yes,99.82,33.31,Easy,,,,Python,
String to Integer (atoi),Strings,Yes,79.43,66.85,Easy,,,,Python,
Implement strStr(),Strings,Yes,93.57,52.99,Easy,,,,Python,
Longest Common Prefix,Strings,Yes,32.19,79.57,Easy,,,,Python,
Merge Sorted Array,Sorting and Searching,Yes,75.07,UC,Easy,,,,Python,
Fix Bad Version,Sorting and Searching,Yes,18.54,49.04,Easy,,,,Python,
Number of 1 Bits,Others,Yes,30.17,91.09,Easy,,,,Python,
Hamming Distance,Others,Yes,61.21,48.43,Easy,,,,Python,
Reverse Bits,Others,Yes,52.34,UC,Easy,,,,Python,
Pascal's Triangle,Others,Yes,76.08,55.97,Easy,,,,Python,
Valid Paranthesis,Others,Yes,98,59.48,Easy,,,,Python,
Missing Number,Others,Yes,89.81,67.17,Easy,,,,Python,
,,,,,,,,,,
3Sum,Array and Strings,Yes,66.07,93.65,Medium,,,,Python,
Set Matrix Zeroes,Array and Strings,Yes,33.71,30.83,Medium,,,,Python,
Group Anagrams,Array and Strings,Yes,86.16,62.92,Medium,,,,Python,
Longest Substring Without Repeating Characters,Array and Strings,Yes,88.24,33.43,Medium,,,,Python,
Longest Palindromic Substring,Array and Strings,Yes,40.3,18.99,Medium,,,,Python,
Increasing Triplet Subsequence,Array and Strings,Yes,69.15,54.96,Medium,,,,Python,
Count and Say,Array and Strings,Yes,41.19,0,Medium,,,,Python,
Add Two Numbers,Linked List,Yes,48.17,49.08,Medium,,,,Python,
Odd Even Linked List,Linked List,Yes,51.82,34.01,Medium,,,,Python,
Intersection of Two Linked Lists,Linked List,Yes,84.12,42.25,Medium,,,,Python,
Binary Tree INorder Traversal,Trees and Graphs,Yes,30.95,26.35,Medium,,,,Python,
Binary Tree Zigzag Level Order Traversal,Trees and Graphs,Yes,26.8,71.34,Medium,,,,Python,
Construct Binary Tree from Preorder and INorder Traversal,Trees and Graphs,No Time Limit Error,,,Medium,,,,Python,
Populating Next Right Pointers in Each Node,Trees and Graphs,Yes,26.28,48.34,Medium,,,,Python,
Kth Smallest Element in a BST,Trees and Graphs,Yes,89.22,67.38,Medium,,,,Python,
Number of Islands,Trees and Graphs,Yes,92.79,63.39,Medium,,,,Python,
Letter Combinations of a Phone Number,Backtracking,Yes,94.51,0,Medium,,,,Python,
Generate Parentheses,Backtracking,Yes,97.02,67.86,Medium,,,,Python,
Permutations,Backtracking,Yes,94.5,0,Medium,,,,Python,
Subsets,Backtracking,Yes,37.97,77.56,Medium,,,,Python,
Word Search,Backtracking,Yes,77.73,84.11,Medium,,,,Python,
Sort Colors,Sorting and Searching,Yes,34.45,0,Medium,,,,Python,
Top K Frequent Elements,Sorting and Searching,Yes,92.58,62.6,Medium,,,,Python,
Kth Largest Element in an Array,Sorting and Searching,"No, Wrong Answer",,,Medium,,,,Python,
Find Peak Element,Sorting and Searching,Yes,86.93,51.07,Medium,,,,Python,
Search for a Range,Sorting and Searching,Yes,65.11,41.48,Medium,,,,Python,
Merge Intervals,Sorting and Searching,Yes,78.8,69.45,Medium,,,,Python,
Search in Rotated Sorted Array,Sorting and Searching,Yes,97.39,42.24,Medium,,,,Python,
Search a 2D Matrix II,Sorting and Searching,Yes,73.69,99.6,Medium,,,,Python,
Jump Game,Dynamic Programming,Yes,67.24,95.92,Medium,,,,Python,
Unique Paths,Dynamic Programming,Yes,66.94,52.44,Medium,,,,Python,
Coin Change,Dynamic Programming,Yes,79.65,41.49,Medium,,,,Python,
Longest Increasing Subsequence,Dynamic Programming,Yes,36.59,19.79,Medium,,,,Python,
Serialize and Deserialize Binary Tree,Design,"No, Wrong Answer",,,Medium,,,,Python,
Insert Delete GetRandom O(1),Design,Yes,73.59,29.65,Medium,,,,Python,
Sum of Two Integers,Others,Yes,80.36,0,Medium,,,,Python,
Evaluate Reverse Polish Notation,Others,Yes,92.45,0,Medium,,,,Python,
Majority Element,Others,Yes,66.47,95.96,Medium,,,,Python,
Task Scheduler,Others,"No, Wrong Answer",,,Medium,,,,Python,
Happy Number,Math,Yes,83.2,42.19,Medium,,,,Python,
Factorial Trailing Zeroes,Math,Yes,68.24,94.12,Medium,,,,Python,
Excel Sheet Column Number,Math,Yes,84.2,35.94,Medium,,,,Python,
"Pow(x, n)",Math,Yes,95.04,47.81,Medium,,,,Python,
Sqrt(x),Math,Yes,28.53,67.85,Medium,,,,Python,
Divide Two Integers,Math,Yes,19.81,47.11,Medium,,,,Python,
Fraction to Recurring Decimal,Math,Yes,15.6,92.98,Medium,,,,Python,
,,,,,,,,,,
Product of Array Except Self,Array and Strings,Yes,83.26,68.14,Hard,,,,Python,
4Sum II,Array and Strings,Yes,29.1,97.26,Hard,,,,Python,
Game of Life,Array and Strings,Yes,75.12,38.6,Hard,,,,Python,
Longest Consecutive Sequence,Array and Strings,Yes,97.21,57.58,Hard,,,,Python,
Sliding Window Maximum,Array and Strings,Yes,98.92,45.37,Hard,Yes,,,Python,
Spiral Matrix,Array and Strings,Yes,91.44,98.68,Hard,,,,Python,
Container With Most Water,Array and Strings,Yes,91.04,93.96,Hard,,,,Python,
First Missing Positive,Array and Strings,No (wrong result),,,Hard,,"Yes. runtime: 67.96, memory: 81.36",,Python,
Find the Duplicate Number,Array and Strings,Yes,87.26,88.18,Hard,,,,Python,
Basic Calculator II,Array and Strings,Yes,71.44,66.35,Hard,,,,Python,
Minimum Window Substring,Array and Strings,Yes,34.89,75.57,Hard,Yes,,,Python,
Merge k Sorted Lists,Linked List,Yes,92.5,39.87,Hard,Yes,,,Python,
Sort List,Linked List,Yes,67.32,50.07,Hard,,,,Python,
Copy List with Random Pointer,Linked List,Yes,72.08,73.53,Hard,,,,Python,
Word Ladder,Trees and Graphs,Yes,41.75,78.17,Hard,,,,Python,
Surrounded Regions,Trees and Graphs,Yes,98.85,65.23,Hard,,,,Python,
Lowest Common Ancestor of a Binary Tree,Trees and Graphs,Yes,86.84,55.89,Hard,,,,Python,
Binary Tree Maximum Path Sum,Trees and Graphs,Yes,98.25,54.72,Hard,,,,Python,
Number of Provinces,Trees and Graphs,Yes,99.21,18.09,Hard,,,,Python,
Course Schedule,Trees and Graphs,Yes,99.07,96.01,Hard,,,,Python,
Course Schedule II,Trees and Graphs,Yes,80.57,84.04,Hard,Yes,,,Python,
Longest Increasing Path in a Matrix,Trees and Graphs,Yes,82.81,53.18,Hard,,,,Python,
Alien Dictionary,Trees and Graphs,Yes,16.9,52.01,Hard,,,,Python,
Count of Smaller Numbers After Self,Trees and Graphs,No (runtime error),,,Hard,,"Yes. runtime: 65.11, memory: 31.11",,Python,
Palindrome Partitioning,Backtracking,Yes,90.82,61.55,Hard,,,,Python,
Word Search II,Backtracking,No (time limit exceeded),,,Hard,Yes,"No (wrong result), i also tried a third time with more information but Nope",,Python,
Remove Invalid Parentheses,Backtracking,Yes,68.86,15.81,Hard,,,,Python,
Wildcard Matching,Backtracking,Yes,45.66,52.85,Hard,,,,Python,
Regular Expression Matching,Backtracking,Yes,75.9,56.64,Hard,,,,Python,
Wiggle Sort II,Sorting and Searching,Yes,93.88,98.75,Hard,,,,Python,
Kth Smallest Element in a Sorted Matrix,Sorting and Searching,Yes,82.19,69.98,Hard,,,,Python,
Median of Two Sorted Arrays,Sorting and Searching,Yes,42.08,15.76,Hard,,,,Python,
Maximum Product Subarray,Dynamic Programming,Yes,81.13,70.32,Hard,,,,Python,
Decode Ways,Dynamic Programming,Yes,37.22,71.37,Hard,,,,Python,
Best Time to Buy and Sell Stock with Cooldown,Dynamic Programming,Yes,78.37,76.38,Hard,,,,Python,
Perfect Squares,Dynamic Programming,Yes,32.63,99.04,Hard,,,,Python,
Word Break,Dynamic Programming,Yes,41.83,65.9,Hard,,,,Python,
Word Break II,Dynamic Programming,Yes,35.93,71.9,Hard,,,,Python,
Burst Balloons,Dynamic Programming,Yes,86.08,87.9,Hard,,,,Python,
LRU Cache,Design,Yes,69.15,23.6,Hard,,,,Python,
Implement Trie (Prefix Tree),Design,Yes,64.73,52.34,Hard,,,,Python,
Flatten Nested List Iterator,Design,Yes,72.47,82.33,Hard,,,,Python,
Find Median from Data Stream,Design,Yes,91.97,12.71,Hard,Yes,,,Python,
Largest Number,Math,Yes,48.57,95.6,Hard,Yes,,,Python,
Max Points on a Line,Math,No (runtime error),,,Hard,Yes,"Yes. runtime: 88.96, memory: 64.72",,Python,
Queue Reconstruction by Height,Others,Yes,91.48,57.26,Hard,,,,Python,
Trapping Rain Water,Others,Yes,68.52,37.28,Hard,,,,Python,
The Skyline Problem,Others,Yes,43.39,90.35,Hard,,,,Python,
Largest Rectangle in Histogram,Others,Yes,78.89,57.48,Hard,,,,Python,
,,,,,,,,,,
Remove Duplicates from Sorted Array,Array,Yes,94.56,94.46,Easy,,,,C++,
Best Time to Buy and Sell Stock II,Array,Yes,72.39,31.03,Easy,,,,C++,
Rotate Array,Array,Yes,85.6,61.18,Easy,,,,C++,
Contains Duplicate,Array,Yes,46.44,66.02,Easy,,,,C++,
Single Number,Array,Yes,98.28,99.18,Easy,,,,C++,
Intersection of Two Arrays II,Array,Yes,93.22,85.08,Easy,,,,C++,
Plus One,Array,Yes,21.41,68.71,Easy,,,,C++,
Move Zeroes,Array,Yes,51.3,65.72,Easy,,,,C++,
Two Sum,Array,Yes,94.39,27.83,Easy,,,,C++,
Valid Sudoku,Array,Yes,80.25,13.01,Easy,,,,C++,
Rotate Image ,Array,Yes,100,43.24,Easy,,,,C++,
Shuffle an Array,Design,Yes,97.06,57.7,Easy,,,,C++,
Min Stack,Design,Yes,36.66,23.33,Easy,,,,C++,
Fizz Buzz,Math,Yes,28.74,91.38,Easy,,,,C++,
CountPrimes,Math,Yes,85.01,20.26,Easy,,,,C++,
Power of three,Math,Yes,22.02,96.68,Easy,,,,C++,
Roman to Integer,Math,Yes,28.01,55.6,Easy,,,,C++,
Climbing stairs,Dynamic Programming,Yes,38.9,47.73,Easy,,,,C++,
Best Time to Buy and Sell Stock,Dynamic Programming,Yes,92.18,11.39,Easy,,,,C++,
Maximum Subarray,Dynamic Programming,Yes,97.49,17.92,Easy,,,,C++,
House Robber,Dynamic Programming,Yes,100,36.56,Easy,,,,C++,
Delete Node in a Linked List,Linked List,Yes,30.02,19.34,Easy,,,,C++,
Remove Nth Node from the End of the List,Linked List,Yes,83.77,79.74,Easy,,,,C++,
Reverse Linked List,Linked List,Yes,26.44,52.32,Easy,,,,C++,
Merge two soorted Lists,Linked List,Yes,33.53,49.71,Easy,,,,C++,
Palindrome Linked List,Linked List,Yes,77.52,87.62,Easy,,,,C++,
Linked List Cycle,Linked List,Yes,95.65,49.11,Easy,,,,C++,
Maximum Depth of Binary Tree,Trees,Yes,42.17,99.75,Easy,,,,C++,
Validate Binary Search Tree,Trees,Yes,55.57,95.99,Easy,,,,C++,
Symmetric Tree,Trees,Yes,88.3,58.79,Easy,,,,C++,
Binary Tree Level Order Traversal,Trees,Yes,100,35.21,Easy,,,,C++,
Convert Sorted Array to Binary Search Tree,Trees,Yes,30.6,83.5,Easy,,,,C++,
Reverse String,Strings,Yes,87.32,80.55,Easy,,,,C++,
Reverse Integer,Strings,"No: Compile Error: Line 11: Char 9: error: too many arguments to function call, expected 1, have 2; did you mean '::reverse'? reverse(s.begin(), s.end()); ^~~~~~~ ::reverse /usr/bin/../lib/gcc/x86_64-linux-gnu/9/../../../../include/c++/9/bits/stl_algo.h:1180:5: Note: '::reverse' declared here reverse(_BidirectionalIterator __first, _BidirectionalIterator __last) ^ 1 error generated.",,,Easy,,"Yes: 100, 65.23",,C++,"reason, it defined reverse with one arg and then it called it recursively with 2 arguments, damn"
First Unique Character in a String,Strings,Yes,93.19,93.52,Easy,,"Yes: 51.06 runtime, 13.02 mem",,C++,
Valid Anagram,Strings,Yes,62.63,100,Easy,,,,C++,
Valid Palindrome,Strings,Yes,52.64,84.8,Easy,,"Yes: 99.82, 33.31",,C++,
String to Integer (atoi),Strings,Yes,38.7,85.55,Easy,,"3rd time it worked: 79.43, 66.85 ",,C++,
Implement strStr(),Strings,Yes,100,31.55,Easy,,,,C++,
Longest Common Prefix,Strings,Yes,100,83.03,Easy,,,,C++,
Merge Sorted Array,Sorting and Searching,Yes,64.59,30.89,Easy,,,,C++,
Fix Bad Version,Sorting and Searching,Yes,100,57.71,Easy,,,,C++,
Number of 1 Bits,Others,Yes,100,100,Easy,,,,C++,
Hamming Distance,Others,Yes,38.32,65.63,Easy,,,,C++,
Reverse Bits,Others,Yes,58.59,37.94,Easy,,Yes: 52.34,,C++,
Pascal's Triangle,Others,Yes,100,53.27,Easy,,,,C++,
Valid Paranthesis,Others,Yes,100,56.07,Easy,,,,C++,
Missing Number,Others,Yes,62.11,25.54,Easy,,,,C++,
,,,,,,,,,,
3Sum,Array and Strings,Yes,72.62,99.43,Medium,,,,C++,
Set Matrix Zeroes,Array and Strings,Yes,91.93,78.5,Medium,,,,C++,
Group Anagrams,Array and Strings,Yes,53.07,82.09,Medium,,,,C++,
Longest Substring Without Repeating Characters,Array and Strings,Yes,32.67,33.1,Medium,,,,C++,
Longest Palindromic Substring,Array and Strings,Yes,37.89,35.86,Medium,,,,C++,
Increasing Triplet Subsequence,Array and Strings,Yes,72.65,16.67,Medium,,,,C++,
Count and Say,Array and Strings,Yes,63.7,60.82,Medium,,,,C++,
Add Two Numbers,Linked List,Yes,87.39,56.64,Medium,,,,C++,
Odd Even Linked List,Linked List,Yes,40.44,81.68,Medium,,,,C++,
Intersection of Two Linked Lists,Linked List,Yes,93.32,77.3,Medium,,,,C++,
Binary Tree INorder Traversal,Trees and Graphs,Yes,50.35,45.87,Medium,,,,C++,
Binary Tree Zigzag Level Order Traversal,Trees and Graphs,Yes,100,17.53,Medium,,,,C++,
Construct Binary Tree from Preorder and INorder Traversal,Trees and Graphs,Yes,50.15,98.89,Medium,,,,C++,
Populating Next Right Pointers in Each Node,Trees and Graphs,Yes,77.44,43.9,Medium,,,,C++,
Kth Smallest Element in a BST,Trees and Graphs,Yes,64.16,69.59,Medium,,,,C++,
Number of Islands,Trees and Graphs,Yes,97.78,65.1,Medium,,,,C++,
Letter Combinations of a Phone Number,Backtracking,Yes,100,93.89,Medium,,,,C++,
Generate Parentheses,Backtracking,Yes,63.68,62.79,Medium,,,,C++,
Permutations,Backtracking,Yes,35.61,80.06,Medium,,,,C++,
Subsets,Backtracking,Yes,67.65,88.86,Medium,,,,C++,
Word Search,Backtracking,Yes,63.82,62.74,Medium,,,,C++,
Sort Colors,Sorting and Searching,Yes,53.78,74.35,Medium,,,,C++,
Top K Frequent Elements,Sorting and Searching,Yes,85.94,51.73,Medium,,,,C++,
Kth Largest Element in an Array,Sorting and Searching,Yes,99.42,73.08,Medium,,,,C++,
Find Peak Element,Sorting and Searching,Yes,85.36,78.91,Medium,,,,C++,
Search for a Range,Sorting and Searching,Yes,8.94,71.78,Medium,,,,C++,
Merge Intervals,Sorting and Searching,Yes,93.5,51.84,Medium,,,,C++,
Search in Rotated Sorted Array,Sorting and Searching,Yes,80.63,82.33,Medium,,,,C++,
Search a 2D Matrix II,Sorting and Searching,Yes,49.64,74.11,Medium,,,,C++,
Jump Game,Dynamic Programming,Yes,79.92,99.91,Medium,,,,C++,
Unique Paths,Dynamic Programming,Yes,23.32,55.32,Medium,,,,C++,
Coin Change,Dynamic Programming,Yes,65.07,49.87,Medium,,,,C++,
Longest Increasing Subsequence,Dynamic Programming,Yes,62.83,39.37,Medium,,,,C++,
Serialize and Deserialize Binary Tree,Design,Yes,30.68,20.73,Medium,,,,C++,
Insert Delete GetRandom O(1),Design,Yes,52.96,64.16,Medium,,,,C++,
Sum of Two Integers,Others,"No: Runtime Error Message:
Line 5: Char 33: runtime error: left shift of negative value -2147483648",,,Medium,"Yes (after being told of wrong answer): 100, 65.74",,,C++,
Evaluate Reverse Polish Notation,Others,Yes,83.66,74.87,Medium,,,,C++,
Majority Element,Others,Yes,67.26,38.61,Medium,,,,C++,
Task Scheduler,Others,Yes,85.7,45.51,Medium,,,,C++,
Happy Number,Math,Yes,53.72,51.43,Medium,,,,C++,
Factorial Trailing Zeroes,Math,Yes,100,92.44,Medium,,,,C++,
Excel Sheet Column Number,Math,Yes,100,100,Medium,,,,C++,
"Pow(x, n)",Math,Yes,42.23,99.93,Medium,,,,C++,
Sqrt(x),Math,Yes,66.2,63.83,Medium,,,,C++,
Divide Two Integers,Math,Yes,100,93.59,Medium,,,,C++,
Fraction to Recurring Decimal,Math,Yes,100,79.78,Medium,,,,C++,
,,,,,,,,,,
Product of Array Except Self,Array and Strings,Yes,65.77,23.95,Hard,,,,C++,
4Sum II,Array and Strings,Yes,31.91,81.72,Hard,,,,C++,
Game of Life,Array and Strings,Yes,100,23.76,Hard,,,,C++,
Longest Consecutive Sequence,Array and Strings,Yes,41.54,79.75,Hard,,,,C++,
Sliding Window Maximum,Array and Strings,Yes,50.56,80.78,Hard,,,,C++,
Spiral Matrix,Array and Strings,Yes,100,93.03,Hard,,,,C++,
Container With Most Water,Array and Strings,Yes,93.36,92.41,Hard,,,,C++,
First Missing Positive,Array and Strings,Yes,37.91,31.46,Hard,,,,C++,
Find the Duplicate Number,Array and Strings,Yes,91.93,67.32,Hard,,,,C++,
Basic Calculator II,Array and Strings,No: Wrong Answer,69.23,86.96,Hard,Yes,,,C++,
Minimum Window Substring,Array and Strings,Yes,46.75,71.89,Hard,,,,C++,
Merge k Sorted Lists,Linked List,Yes,70.68,47.66,Hard,,,,C++,
Sort List,Linked List,Yes,81.66,91.46,Hard,,,,C++,
Copy List with Random Pointer,Linked List,Yes,8.4,31.5,Hard,,,,C++,
Word Ladder,Trees and Graphs,Yes,96.63,92.22,Hard,,,,C++,
Surrounded Regions,Trees and Graphs,Yes,88.1,89.39,Hard,,,,C++,
Lowest Common Ancestor of a Binary Tree,Trees and Graphs,Yes,85.65,88.75,Hard,,,,C++,
Binary Tree Maximum Path Sum,Trees and Graphs,Yes,7.49,70.42,Hard,,,,C++,
Number of Provinces,Trees and Graphs,Yes,84.59,93.96,Hard,,,,C++,
Course Schedule,Trees and Graphs,Yes,98.01,83.33,Hard,,,,C++,
Course Schedule II,Trees and Graphs,Yes,90.17,32.82,Hard,,,,C++,
Longest Increasing Path in a Matrix,Trees and Graphs,Yes,78.72,33.92,Hard,,,,C++,
Alien Dictionary,Trees and Graphs,No: wrong answer,,,Hard,No: still wrong answer (after being told it got the wrong answer),,,C++,
Count of Smaller Numbers After Self,Trees and Graphs,Yes,26.64,25.97,Hard,,,,C++,
Palindrome Partitioning,Backtracking,Yes,94.01,79.68,Hard,,,,C++,
Word Search II,Backtracking,No: Time Limit Exceeded,,,Hard,No: it tried a more complex appraoch involving a trie and the code was so long that it couldn't correctly remeber the name of the help functions it created,,,C++,
Remove Invalid Parentheses,Backtracking,Yes,72.27,64.4,Hard,,,,C++,
Wildcard Matching,Backtracking,Yes,36.92,65.56,Hard,,,,C++,
Regular Expression Matching,Backtracking,Yes,56.94,89.16,Hard,,,,C++,
Wiggle Sort II,Sorting and Searching,No: Wrong Answer,,,Hard,Yes: after being told of its mistake,,,C++,
Kth Smallest Element in a Sorted Matrix,Sorting and Searching,Yes,80,95.94,Hard,,,,C++,
Median of Two Sorted Arrays,Sorting and Searching,Yes,74.87,75.42,Hard,,,,C++,
Maximum Product Subarray,Dynamic Programming,Yes,54.62,50.21,Hard,,,,C++,
Decode Ways,Dynamic Programming,Yes,26.43,52.89,Hard,,,,C++,
Best Time to Buy and Sell Stock with Cooldown,Dynamic Programming,Yes,100,80.92,Hard,,,,C++,
Perfect Squares,Dynamic Programming,Yes,68.12,83.7,Hard,,,,C++,
Word Break,Dynamic Programming,Yes,58.67,63.06,Hard,,,,C++,
Word Break II,Dynamic Programming,Yes,100,42.47,Hard,,,,C++,
Burst Balloons,Dynamic Programming,Yes,60.84,62.61,Hard,,,,C++,
LRU Cache,Design,Yes,86.39,86.5,Hard,,,,C++,
Implement Trie (Prefix Tree),Design,Yes,93.34,27.51,Hard,,,,C++,
Flatten Nested List Iterator,Design,No: wrong answer,,,Hard,"Yes (after being told of wrong answer): 72.19 , 57.84",,,C++,
Find Median from Data Stream,Design,Yes,79.41,90.16,Hard,,,,C++,
Largest Number,Math,Yes,28.1,78.82,Hard,,,,C++,
Max Points on a Line,Math,Yes,75.84,59.43,Hard,,"Yes. runtime: 88.96, memory: 64.72",,C++,
Queue Reconstruction by Height,Others,Yes,45.87,64.86,Hard,,,,C++,
Trapping Rain Water,Others,Yes,8.04,27.33,Hard,,,,C++,
The Skyline Problem,Others,Yes,96.29,86.64,Hard,,,,C++,
Largest Rectangle in Histogram,Others,Yes,72.52,78.15,Hard,,,,C++,
,,,,,,,,,,
Remove Duplicates from Sorted Array,Array,Yes,43.11,75.27,Easy,,,,Ruby,
Best Time to Buy and Sell Stock II,Array,"No, Wrong answer. GPT calculates the maximum you can make from a single sale instead of all the possible sales in the period",,,Easy,,,,Ruby,
Rotate Array,Array,Yes,93.16,29.06,Easy,,,,Ruby,
Contains Duplicate,Array,Yes,76.76,76.76,Easy,,,,Ruby,
Single Number,Array,Yes,93.94,97.47,Easy,,,,Ruby,
Intersection of Two Arrays II,Array,Yes,78.87,18.31,Easy,,,,Ruby,
Plus One,Array,Yes,26.83,44.72,Easy,,,,Ruby,
Move Zeroes,Array,Yes,43.18,17.05,Easy,,,,Ruby,
Two Sum,Array,Yes,69.18,28.16,Easy,,,,Ruby,
Valid Sudoku,Array,Yes,65.29,96.69,Easy,,,,Ruby,
Rotate Image,Array,Yes,32.43,UC,Easy,,,,Ruby,
Reverse String,Strings,Yes,95.48,47.24,Easy,,,,Ruby,
Reverse Integer,Strings,Yes,96.53,UC,Easy,,,,Ruby,
First Unique Character in a String,Strings,Yes,UC,78.35,Easy,,,,Ruby,
Valid Anagram,Strings,Yes,66.85,91.57,Easy,,,,Ruby,
Valid Palindrome,Strings,Yes,57.51,61.9,Easy,,,,Ruby,
String to Integer (atoi),Strings,Yes,93.94,75.76,Easy,,,,Ruby,
Implement strStr(),Strings,Yes,94.36,13.48,Easy,,,,Ruby,
Longest Common Prefix,Strings,Yes,64.82,52.43,Easy,,,,Ruby,
Delete Node in a Linked List,Linked List,Yes,37.14,71.43,Easy,,,,Ruby,
Remove Nth Node From End of List,Linked List,Yes,97.9,77.62,Easy,,,,Ruby,
Reverse Linked List,Linked List,Yes,55.7,99.37,Easy,,,,Ruby,
Merge Two Sorted Lists,Linked List,Yes,87.07,55.61,Easy,,,,Ruby,
Palindrome Linked List,Linked List,Yes,56.7,59.79,Easy,,,,Ruby,
Linked List Cycle,Linked List,Yes,38.6,39.03,Easy,,,,Ruby,
Maximum Depth of Binary Tree,Trees,Yes,16.84,88.22,Easy,,,,Ruby,
Validate Binary Search Tree,Trees,Yes,38.06,34.33,Easy,,,,Ruby,
Symmetric Tree,Trees,Yes,20.47,19.3,Easy,,,,Ruby,
Binary Tree Level Order Traversal,Trees,Yes,86.45,46.45,Easy,,,,Ruby,
Convert Sorted Array to Binary Search Tree,Trees,Yes,69.86,6.85,Easy,,,,Ruby,
Merge Sorted Array,Sorting and Searching,Yes,30.83,UC,Easy,,,,Ruby,
First Bad Version,Sorting and Searching,Yes,81.43,30.48,Easy,,,,Ruby,
Climbing Stairs,Dynamic Programming,Yes,52.59,79.28,Easy,,,,Ruby,
Best Time to Buy and Sell Stock,Dynamic Programming,Yes,94.27,45.81,Easy,,,,Ruby,
Maximum Subarray,Dynamic Programming,Yes,50.88,94.15,Easy,,,,Ruby,
House Robber,Dynamic Programming,Yes,53.29,40.13,Easy,,,,Ruby,
Shuffle an Array,Design,Yes,UC,90.91,Easy,,,,Ruby,
Min Stack,Design,Yes,98.77,80.25,Easy,,,,Ruby,
Fizz Buzz,Math,Yes,39.59,40.1,Easy,,,,Ruby,
Count Primes,Math,"No, Time limit Exceeded",,,Easy,,,,Ruby,
Power of Three,Math,Yes,UC,UC,Easy,,,,Ruby,
Roman to Integer,Math,Yes,33.71,41.01,Easy,,,,Ruby,
Number of 1 Bits,Others,Yes,70.94,62.39,Easy,,,,Ruby,
Hamming Distance,Others,Yes,UC,UC,Easy,,,,Ruby,
Reverse Bits,Others,Yes,43.59,69.23,Easy,,,,Ruby,
Pascal's Triangle,Others,Yes,87.5,UC,Easy,,,,Ruby,
Valid Parentheses,Others,Yes,59.13,91.55,Easy,,,,Ruby,
Missing Number,Others,Yes,94.26,63.93,Easy,,,,Ruby,
,,,,,,,,,,
3Sum,Array and Strings,Yes,65,92.9,Medium,,,,Ruby,
Set Matrix Zeroes,Array and Strings,Yes,90,34.15,Medium,,,,Ruby,
Group Anagrams,Array and Strings,Yes,94.32,67.05,Medium,,,,Ruby,
Longest Substring Without Repeating Characters,Array and Strings,Yes,79.1,53.07,Medium,,,,Ruby,
Longest Palindromic Substring,Array and Strings,Yes,83.58,83.58,Medium,,,,Ruby,
Increasing Triplet Subsequence,Array and Strings,Yes,UC,UC,Medium,,,,Ruby,
