,game,number of moves,faulty_move,moves place in top 10,moves score (centipawns),Comments
13,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...a6 4.Ba4 4...b6 5.Bb3 5...Qf6 6.Qe2 6...Bc5 7.d3 7...Nh6 8.Nc3 8...Ng8,7.0,Qf3,"[2, 'None', 3, 'None', 1, 'None', 7, 'None', 11, 'None', 2, 'None', 3, 'None']","[49, 'None', 17, 'None', 77, 'None', 56, 'None', 0, 'None', 30, 'None', 124, 'None']",skips piece
14,1.e4 1...e5 2.Nf3 2...f5 3.d4 3...Nf6,2.0,d4,"[2, 'None', 3, 'None']","[49, 'None', 63, 'None']",moves pawn wrongly
15,1.e4 1...e5 2.Nf3 2...c5 3.d4 3...Qb6 4.Nc3 4...Nc6 5.dxc5 5...g6 6.Bf4 6...Be7 7.Bxe5 7...h6,6.0,Bxh6,"[2, 'None', -100, 'None', 7, 'None', 5, 'None', -100, 'None', 4, 'None']","[49, 'None', -100, 'None', 62, 'None', 116, 'None', -100, 'None', 291, 'None']",moves bishop wrongly
16,1.e4 1...e5 2.Nf3 2...Nf6 3.d4 3...Be7 4.dxe5 4...Nc6 5.Nc3 5...Nh5,4.0,Bxh5,"[2, 'None', 1, 'None', 2, 'None', 2, 'None']","[49, 'None', 69, 'None', 90, 'None', 205, 'None']",moves bishop wrongly
17,1.e4 1...e5 2.Nf3 2...Bb4 3.Bd3 3...a5,2.0,Bxa5,"[2, 'None', 8, 'None']","[49, 'None', 55, 'None']",moves bishop wrongly
18,1.e4 1...e5 2.Nf3 2...c6 3.d4 3...Qb6 4.dxe5 4...Qc5 5.Nc3 5...g5 6.Bf4 6...g4,5.0,Bd6,"[2, 'None', 4, 'None', 1, 'None', 4, 'None', -100, 'None']","[49, 'None', 65, 'None', 290, 'None', 315, 'None', -100, 'None']",skips piece
19,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...a5 4.d4 4...Qe7 5.d5 5...g6 6.Nf7 6...Rh7,5.0,White,"[2, 'None', 1, 'None', 2, 'None', -100, 'None', 10, 'None']","[49, 'None', 176, 'None', 262, 'None', -100, 'None', -70, 'None']",
20,1.e4 1...e5 2.Nf3 2...f5 3.d4 3...b6 4.Bd3 4...d6 5.Nc3 5...b5 6.Bxb5 6...Nc6 7.dxe5 7...a5 8.Bxc6 8...Ke7 9.Qd4+ 9...g6,8.0,Qd7+,"[2, 'None', 3, 'None', 7, 'None', 3, 'None', 10, 'None', 7, 'None', 1, 'None', 6, 'None']","[49, 'None', 63, 'None', 194, 'None', 284, 'None', 278, 'None', 431, 'None', 1013, 'None', 1075, 'None']",skips piece
21,1.e4 1...e5 2.Nf3 2...a5 3.d4 3...c6 4.d5 4...b6 5.Bd3 5...cxd5,4.0,Bxa5,"[2, 'None', 4, 'None', 12, 'None', 4, 'None']","[49, 'None', 97, 'None', 80, 'None', 101, 'None']",moves bishop wrongly
22,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...Qxd5 4.Nc3 4...Qxd2+,3.0,Bc4,"[2, 'None', 3, 'None', 1, 'None']","[49, 'None', 71, 'None', 716, 'None']",moves bishop wrongly
23,1.e4 1...e5 2.Nf3 2...f5 3.d4 3...a5,2.0,d4,"[2, 'None', 3, 'None']","[49, 'None', 63, 'None']",moves imaginary piece
24,1.e4 1...e5 2.Nf3 2...Bd6 3.d4 3...h5,2.0,position,"[2, 'None', 2, 'None']","[49, 'None', 111, 'None']",
25,1.e4 1...e5 2.Nf3 2...Bd6 3.Nc3 3...Kf8 4.d4 4...f6 5.Bd3 5...h6 6.Qe2 6...Na6 7.Bxa6 7...g5 8.dxe5 8...Bxe5 9.Nxe5 9...Ne7 10.Nd7+ 10...Kf7,9.0,move,"[2, 'None', 1, 'None', 1, 'None', 14, 'None', 12, 'None', 16, 'None', 4, 'None', 2, 'None', 6, 'None']","[49, 'None', 550, 'None', 317, 'None', 186, 'None', 236, 'None', 224, 'None', 612, 'None', 629, 'None', 774, 'None']",
26,1.e4 1...e5 2.Nf3 2...Qf6 3.Nc3 3...Nc6 4.Bc4 4...Nd4 5.Bxf7+ 5...Kd8 6.Bd5 6...Qf4,5.0,Bd2,"[2, 'None', 1, 'None', 3, 'None', -100, 'None', 6, 'None']","[49, 'None', 209, 'None', 134, 'None', -100, 'None', 87, 'None']",moves bishop wrongly
27,1.e4 1...e5 2.Nf3 2...c6 3.d4 3...h5 4.dxe5 4...Bc5 5.Nc3 5...Bb4 6.Bd3 6...g6,5.0,Bxb4,"[2, 'None', 4, 'None', 2, 'None', 9, 'None', 3, 'None']","[49, 'None', 65, 'None', 290, 'None', 210, 'None', 315, 'None']",moves bishop wrongly
28,1.e4 1...e5 2.Nf3 2...b6 3.Bb5 3...f6,2.0,Bxb6,"[2, 'None', 4, 'None']","[49, 'None', 104, 'None']",moves bishop wrongly
29,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...a6 4.Ba4 4...Nd4 5.Bxc6 5...Ba3,4.0,Bxa8,"[2, 'None', 3, 'None', 1, 'None', -100, 'None']","[49, 'None', 17, 'None', 77, 'None', -100, 'None']",moves bishop wrongly
30,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...Be7 4.Bd3 4...a5,3.0,Bxa5,"[1, 'None', 1, 'None', 4, 'None']","[112, 'None', 72, 'None', 89, 'None']",moves bishop wrongly
31,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...Nf6 4.Nc3 4...Rg8 5.Bd3 5...Nh5,4.0,Bxh7+,"[1, 'None', 1, 'None', 4, 'None', 2, 'None']","[112, 'None', 72, 'None', 99, 'None', 195, 'None']",moves bishop wrongly
32,1.e4 1...c6 2.d4 2...Nf6 3.Nc3 3...e6 4.Nf3 4...d5 5.e5 5...a6 6.Bd3 6...Bb4,5.0,Bxb4,"[1, 'None', 1, 'None', 3, 'None', 1, 'None', 6, 'None']","[112, 'None', 103, 'None', 85, 'None', 116, 'None', 109, 'None']",moves bishop wrongly
33,1.e4 1...c6 2.d4 2...Nf6 3.Nc3 3...c5 4.d5 4...g5 5.Bxg5 5...Bg7 6.e5 6...Na6 7.Nf3 7...Qc7 8.Qd2 8...Nh5 9.Bh6 9...Kf8 10.Qf4 10...Bxh6 11.Qxh6 11...Ke8 12.Qg7 12...h6,11.0,Qg7,"[1, 'None', 1, 'None', 1, 'None', 6, 'None', 1, 'None', 13, 'None', 5, 'None', 7, 'None', -100, 'None', 1, 'None', -100, 'None']","[112, 'None', 103, 'None', 188, 'None', 269, 'None', 642, 'None', 340, 'None', 470, 'None', 403, 'None', -100, 'None', 437, 'None', -100, 'None']",moves queen wrongly
34,1.e4 1...c6 2.d4 2...f5 3.e5 3...Qb6 4.Qd2 4...a6 5.Qxb4 5...Qc7 6.Qa3 6...a5 7.Qd6 7...b5 8.Qd5 8...Qb6,7.0,Qxb7,"[1, 'None', 3, 'None', 13, 'None', -100, 'None', 3, 'None', -100, 'None', -100, 'None']","[112, 'None', 125, 'None', 142, 'None', -100, 'None', 91, 'None', -100, 'None', -100, 'None']",moves queen wrongly
35,1.e4 1...c6 2.d4 2...h5 3.Nf3 3...Na6 4.Bxa6 4...d6,3.0,Bxd6,"[1, 'None', 3, 'None', 8, 'None']","[112, 'None', 91, 'None', 156, 'None']",skips piece
36,1.e4 1...c6 2.d4 2...h5 3.Nf3 3...c5 4.d5 4...Qc7 5.Nc3 5...Nh6 6.Bxh6 6...Qe5 7.Bf4 7...h4,6.0,knight,"[1, 'None', 3, 'None', 1, 'None', 3, 'None', -100, 'None', -100, 'None']","[112, 'None', 91, 'None', 313, 'None', 239, 'None', -100, 'None', -100, 'None']",
37,1.e4 1...c6 2.d4 2...h6 3.Nf3 3...e5 4.dxe5 4...a5 5.Bd3 5...Bb4+ 6.Nbd2# 6...Bc5,5.0,Bxc5#,"[1, 'None', 8, 'None', 1, 'None', 6, 'None', 2, 'None']","[112, 'None', 57, 'None', 286, 'None', 248, 'None', 248, 'None']",moves bishop wrongly
38,1.e4 1...c6 2.d4 2...d5 3.e5 3...g5 4.f4 4...Bd7 5.Bd3 5...a6 6.Bg6 6...h5 7.Bxh5 7...Qc7 8.Nf3 8...Bh6 9.Qe2 9...Be6,8.0,Qxe6,"[1, 'None', 1, 'None', 14, 'None', 8, 'None', -100, 'None', 1, 'None', -100, 'None', 4, 'None']","[112, 'None', 69, 'None', 136, 'None', 137, 'None', -100, 'None', 201, 'None', -100, 'None', 227, 'None']",moves queen wrongly
39,1.e4 1...c6 2.d4 2...h6 3.Nf3 3...d6 4.Bd3 4...Nd7 5.O-O 5...e5 6.dxe5 6...Qe7 7.Nc3 7...Nb8 8.Bf4 8...Qxe5 9.Bxe5 9...h5,8.0,Qd3,"[1, 'None', 8, 'None', 4, 'None', 9, 'None', 18, 'None', 5, 'None', 2, 'None', 2, 'None']","[112, 'None', 57, 'None', 106, 'None', 66, 'None', 34, 'None', 77, 'None', 269, 'None', 573, 'None']",moves queen wrongly
40,1.e4 1...c6 2.d4 2...h5 3.Nf3 3...c5 4.d5 4...a5 5.e5 5...Ra7,4.0,Bxa5,"[1, 'None', 3, 'None', 1, 'None', 1, 'None']","[112, 'None', 91, 'None', 313, 'None', 526, 'None']",moves bishop wrongly
41,1.e4 1...c6 2.d4 2...d6 3.Nc3 3...f6 4.Nf3 4...Qd7 5.Bd3 5...Kd8 6.Bg5 6...Ke8 7.Qe2 7...Qg4,6.0,Qxg4,"[1, 'None', 8, 'None', 7, 'None', 11, 'None', -100, 'None', 10, 'None']","[112, 'None', 63, 'None', 144, 'None', 165, 'None', -100, 'None', -33, 'None']",skips piece
42,1.e4 1...c6 2.d4 2...a5 3.d5 3...Nf6 4.Nc3 4...b5 5.e5 5...b4 6.Na4 6...Ng8 7.Bd3 7...h6 8.Bxh6 8...Rh7 9.Qh5 9...gxh6 10.Qxh6 10...e6 11.dxe6 11...b3,10.0,Bxb3,"[1, 'None', 7, 'None', 1, 'None', 1, 'None', -100, 'None', -100, 'None', -100, 'None', -100, 'None', -100, 'None', 16, 'None']","[112, 'None', 63, 'None', 112, 'None', 80, 'None', -100, 'None', -100, 'None', -100, 'None', -100, 'None', -100, 'None', -691, 'None']",moves bishop wrongly
43,1.e4 1...c6 2.d4 2...d5 3.e5 3...Be6 4.c4 4...Qb6 5.Nc3 5...Kd8 6.Bd3 6...h5 7.Qe2 7...Na6 8.Qf3 8...Bg4 9.Qxg4 9...Nh6,8.0,checkmate,"[1, 'None', 1, 'None', -100, 'None', 11, 'None', 16, 'None', 17, 'None', -100, 'None', -100, 'None']","[112, 'None', 69, 'None', -100, 'None', 54, 'None', 173, 'None', 159, 'None', -100, 'None', -100, 'None']",
44,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...h5 4.Nc3 4...Rh7,3.0,Bxh5,"[1, 'None', 1, 'None', 10, 'None']","[112, 'None', 72, 'None', 126, 'None']",moves bishop wrongly
45,1.e4 1...c6 2.d4 2...Nh6 3.Nf3 3...Qa5+ 4.Bd2# 4...Ng4,3.0,Bxg4#,"[1, 'None', 9, 'None', 6, 'None']","[112, 'None', 103, 'None', 68, 'None']",moves bishop wrongly
46,1.e4 1...c6 2.d4 2...g5,1.0,White,"[1, 'None']","[112, 'None']",
47,1.e4 1...c6 2.d4 2...a6 3.Nf3 3...d6 4.Bd3 4...Qa5+ 5.c3# 5...e5,4.0,Qd4#,"[1, 'None', 7, 'None', 7, 'None', 1, 'None']","[112, 'None', 52, 'None', 99, 'None', 184, 'None']",skips piece
48,1.e4 1...c6 2.d4 2...a6 3.Nf3 3...a5,2.0,Bxa5,"[1, 'None', 7, 'None']","[112, 'None', 52, 'None']",moves bishop wrongly
49,1.e4 1...c6 2.d4 2...Qb6 3.Nc3 3...a6 4.Qd2 4...d5 5.e5 5...h6 6.Bd3 6...Qa5,5.0,Qxa5,"[1, 'None', 3, 'None', 12, 'None', 5, 'None', -100, 'None']","[112, 'None', 101, 'None', 95, 'None', 73, 'None', -100, 'None']",moves queen wrongly
50,1.e4 1...c6 2.d4 2...f6 3.Nc3 3...h6 4.e5 4...Na6 5.Bd3 5...b6 6.Bxa6 6...Rb8 7.Bd3 7...Rb7 8.Qe2 8...fxe5 9.dxe5 9...a6,8.0,Qxe5,"[1, 'None', 1, 'None', 19, 'None', 3, 'None', -100, 'None', 2, 'None', -100, 'None', 3, 'None']","[112, 'None', 144, 'None', 203, 'None', 387, 'None', -100, 'None', 995, 'None', -100, 'None', 1051, 'None']",
51,1.e4 1...c6 2.d4 2...f5 3.exf5 3...h5 4.g4 4...e5 5.dxe5 5...Bb4+ 6.Nc3# 6...Kf8 7.Bd2# 7...Bxc3,6.0,Bd2#,"[1, 'None', 1, 'None', -100, 'None', 1, 'None', 4, 'None', 9, 'None']","[112, 'None', 231, 'None', -100, 'None', 182, 'None', 221, 'None', 313, 'None']",
52,1.e4 1...c6 2.d4 2...Qb6 3.Nc3 3...f5 4.e5 4...Na6 5.Bd3 5...f4 6.Bxf4 6...g5 7.Bg3 7...Nc7 8.Qd2 8...Qxb2,7.0,Qxb2,"[1, 'None', 3, 'None', 4, 'None', -100, 'None', 11, 'None', 6, 'None', -100, 'None']","[112, 'None', 101, 'None', 147, 'None', -100, 'None', 262, 'None', 282, 'None', -100, 'None']",
53,1.e4 1...c6 2.d4 2...f5 3.e5 3...a5 4.d5 4...g5 5.dxc6 5...f4 6.Bxf4 6...Kf7,5.0,Bd6,"[1, 'None', 3, 'None', -100, 'None', -100, 'None', 4, 'None']","[112, 'None', 125, 'None', -100, 'None', -100, 'None', 392, 'None']",
54,1.e4 1...c6 2.d4 2...Qc7 3.Nc3 3...Qd6 4.Nf3 4...Nh6 5.Bxh6 5...Qg3 6.Qd2 6...Kd8,5.0,advantage,"[1, 'None', 7, 'None', 1, 'None', -100, 'None', 17, 'None']","[112, 'None', 57, 'None', 210, 'None', -100, 'None', 671, 'None']",
55,1.e4 1...c6 2.d4 2...h6 3.Nf3 3...c5 4.d5 4...d6 5.Bxh6 5...gxh6,4.0,Qxh6,"[1, 'None', 8, 'None', 1, 'None', -100, 'None']","[112, 'None', 57, 'None', 146, 'None', -100, 'None']",
56,1.e4 1...c6 2.d4 2...Nh6 3.Nf3 3...Rg8 4.Bxh6 4...a6 5.Bd3 5...g5,4.0,Bg3,"[1, 'None', 9, 'None', -100, 'None', 10, 'None']","[112, 'None', 103, 'None', -100, 'None', 165, 'None']",
57,1.e4 1...c6 2.d4 2...g6 3.Nf3 3...Nh6 4.Nc3 4...Na6 5.Bxa6 5...Rg8 6.Bd3 6...a6,5.0,Bxg8,"[1, 'None', 2, 'None', 7, 'None', 2, 'None', 3, 'None']","[112, 'None', 95, 'None', 112, 'None', 230, 'None', 708, 'None']",
58,1.e4 1...c6 2.d4 2...Na6 3.Nf3 3...h5 4.Bxa6 4...e6 5.Bb5 5...Bb4+ 6.c3# 6...Nh6,5.0,Qxh6,"[1, 'None', 4, 'None', 14, 'None', 14, 'None', 1, 'None']","[112, 'None', 113, 'None', 118, 'None', 178, 'None', 588, 'None']",
59,1.e4 1...c6 2.d4 2...g5 3.d5 3...c5 4.c4 4...Nf6 5.Nc3 5...d6 6.Bg5 6...Ng8 7.e5 7...Nh6 8.Bxh6 8...Be6 9.Qd4 9...Nc6 10.Qe3 10...Bd7,9.0,position,"[1, 'None', 19, 'None', 10, 'None', 3, 'None', 4, 'None', -100, 'None', -100, 'None', -100, 'None', 4, 'None']","[112, 'None', 129, 'None', 240, 'None', 235, 'None', 204, 'None', -100, 'None', -100, 'None', -100, 'None', 501, 'None']",
60,1.e4 1...c5 2.Nf3 2...d5 3.exd5 3...Bg4 4.d4 4...b6 5.Bb5+ 5...Nd7 6.Bxd7+ 6...Kxd7 7.dxc5 7...Qc7 8.Nc3 8...e6 9.Qd4+ 9...Qxc5 10.Qxc5 10...Be7 11.Qd4+ 11...Nh6,10.0,Qxh8,"[3, 'None', 1, 'None', 7, 'None', 4, 'None', -100, 'None', 2, 'None', 4, 'None', 17, 'None', 6, 'None', 3, 'None']","[50, 'None', 64, 'None', 153, 'None', 308, 'None', -100, 'None', 350, 'None', 398, 'None', 247, 'None', 521, 'None', 950, 'None']",
61,1.e4 1...c5 2.Nf3 2...a5 3.d4 3...Nf6 4.d5 4...Rg8 5.e5 5...Nc6 6.Bc4 6...g5,5.0,Bxf7+,"[3, 'None', 1, 'None', 17, 'None', 2, 'None', 4, 'None']","[50, 'None', 129, 'None', 52, 'None', 340, 'None', 565, 'None']",
62,1.e4 1...c5 2.Nf3 2...Nf6 3.d4 3...Qb6 4.Nc3 4...Qc7 5.dxc5 5...Ng8 6.Bf4 6...Qb6 7.Bd6 7...Qd8,6.0,Bxg7,"[3, 'None', 4, 'None', 4, 'None', 4, 'None', -100, 'None', -100, 'None']","[50, 'None', -12, 'None', 71, 'None', 184, 'None', -100, 'None', -100, 'None']",
63,1.e4 1...c5 2.Nf3 2...d5 3.exd5 3...g5 4.d4 4...h6 5.dxc5 5...Qc7 6.Nc3 6...Nd7 7.Bf4 7...Bg7,6.0,Qxg5,"[3, 'None', 1, 'None', 4, 'None', 2, 'None', 5, 'None', -100, 'None']","[50, 'None', 64, 'None', 200, 'None', 279, 'None', 422, 'None', -100, 'None']",
64,1.e4 1...c5 2.Nf3 2...b6 3.d4 3...h5 4.dxc5 4...Rh6 5.Nc3 5...a5 6.Bd3 6...Na6,5.0,Bxa5,"[3, 'None', 3, 'None', 8, 'None', 5, 'None', -100, 'None']","[50, 'None', 59, 'None', 141, 'None', 323, 'None', -100, 'None']",
65,1.e4 1...c5 2.Nf3 2...d5 3.exd5 3...Bf5 4.d4 4...h5 5.Bc4 5...e5 6.dxe5 6...Nd7 7.Nc3 7...Ne7,6.0,Nd5,"[3, 'None', 1, 'None', 4, 'None', 3, 'None', 2, 'None', 6, 'None']","[50, 'None', 64, 'None', 157, 'None', 296, 'None', 455, 'None', 468, 'None']",
66,1.e4 1...c5 2.Nf3 2...Nh6 3.d4 3...a5 4.d5 4...g6 5.Bxh6 5...e5 6.dxe6 6...b5 7.Bd3 7...f6,6.0,king,"[3, 'None', 3, 'None', 1, 'None', -100, 'None', 15, 'None', -100, 'None']","[50, 'None', 109, 'None', 298, 'None', -100, 'None', 278, 'None', -100, 'None']",
67,1.e4 1...c5 2.Nf3 2...d6 3.d4 3...h6 4.Nc3 4...Qa5 5.Bd2 5...Qc7 6.Bd3 6...e5 7.dxe5 7...Qd8 8.Qe2 8...Bg4 9.Qe3 9...Qb6,8.0,Qxb6,"[3, 'None', 3, 'None', 8, 'None', 4, 'None', 9, 'None', 2, 'None', 8, 'None', 5, 'None']","[50, 'None', 32, 'None', 83, 'None', 157, 'None', 151, 'None', 275, 'None', 282, 'None', 232, 'None']",
68,1.e4 1...c5 2.Nf3 2...g5 3.Bc4 3...a5 4.d4 4...Na6 5.Bxf7+ 5...Kxf7 6.d5 6...Bh6 7.d6+ 7...Qe8 8.dxe7+ 8...Ke6 9.Nd4+ 9...Ke5,8.0,checkmate,"[3, 'None', 1, 'None', 1, 'None', 2, 'None', 7, 'None', 4, 'None', 19, 'None', -100, 'None']","[50, 'None', 257, 'None', 312, 'None', 513, 'None', 159, 'None', 143, 'None', 60, 'None', -100, 'None']",
69,1.e4 1...c5 2.Nf3 2...b6 3.d4 3...h6 4.dxc5 4...e6 5.Nc3 5...Nc6 6.Bb5 6...a5 7.Bxc6 7...Rb8 8.Bd5 8...f5 9.exf5 9...g5 10.Bxg5 10...Bg7 11.Bh4 11...Rb7 12.Qe2 12...Qf6,11.0,Qe8+,"[3, 'None', 3, 'None', 17, 'None', 3, 'None', 9, 'None', 1, 'None', 5, 'None', 19, 'None', -100, 'None', 2, 'None', 9, 'None']","[50, 'None', 59, 'None', 85, 'None', 137, 'None', 80, 'None', 294, 'None', 363, 'None', 386, 'None', -100, 'None', 653, 'None', 777, 'None']",
70,1.e4 1...c5 2.Nf3 2...Nh6 3.d4 3...Qc7 4.dxc5 4...g6 5.Nc3 5...Qd8 6.Bf4 6...Bg7 7.e5 7...Qa5 8.Bd2 8...Qxc5 9.Qe2 9...Nf5 10.Qe4 10...Qc6 11.Qxc6 11...h5 12.Qxc7 12...Nh4 13.Qd8+ 13...Kxd8,12.0,move,"[3, 'None', 3, 'None', 3, 'None', 2, 'None', -100, 'None', 20, 'None', -100, 'None', 4, 'None', 19, 'None', 14, 'None', 2, 'None', -100, 'None']","[50, 'None', 109, 'None', 165, 'None', 255, 'None', -100, 'None', 216, 'None', -100, 'None', 70, 'None', -1, 'None', 31, 'None', 1201, 'None', -100, 'None']",
71,1.e4 1...c5 2.Nf3 2...d6 3.d4 3...Nf6 4.dxc5 4...Ng4 5.Bf4 5...d5 6.Bg5 6...Bd7 7.e5 7...Qc8,6.0,Qxg4,"[3, 'None', 3, 'None', 7, 'None', 18, 'None', -100, 'None', 14, 'None']","[50, 'None', 32, 'None', 23, 'None', 108, 'None', -100, 'None', 66, 'None']",
72,1.e4 1...c5 2.Nf3 2...Qa5 3.Nc3 3...f5 4.d4 4...h5 5.e5 5...Qc7 6.Bd3 6...Qb6,5.0,Bxh5,"[3, 'None', 1, 'None', 10, 'None', 1, 'None', 4, 'None']","[50, 'None', 470, 'None', 95, 'None', 322, 'None', 362, 'None']",
73,1.e4 1...c5 2.Nf3 2...Nc6 3.d4 3...a6 4.d5 4...g6 5.Bg5 5...Na5 6.Bxf6 6...Nc6 7.Bd3 7...Na7 8.e5 8...Qa5+ 9.Qd2# 9...Qxd2+,8.0,Qd2#,"[3, 'None', 4, 'None', 1, 'None', 20, 'None', -100, 'None', 11, 'None', 7, 'None', 8, 'None']","[50, 'None', 31, 'None', 159, 'None', 86, 'None', -100, 'None', -176, 'None', -266, 'None', -278, 'None']",
74,1.e4 1...c5 2.Nf3 2...e5 3.d4 3...h6,2.0,position,"[3, 'None', -100, 'None']","[50, 'None', -100, 'None']",
75,1.e4 1...c5 2.Nf3 2...Nc6 3.d4 3...f6 4.dxc5 4...Qc7 5.Nc3 5...Ne5 6.Bf4 6...Qa5 7.Bxe5 7...d5 8.Bd4 8...Qxa2,7.0,Bb6,"[3, 'None', 4, 'None', 4, 'None', 1, 'None', 5, 'None', 6, 'None', 1, 'None']","[50, 'None', 31, 'None', 88, 'None', 328, 'None', 240, 'None', 288, 'None', 838, 'None']",
76,1.e4 1...c5 2.Nf3 2...a6 3.d4 3...Qc7 4.dxc5 4...b6 5.Bd3 5...Nf6,4.0,Bd3,"[3, 'None', 4, 'None', 1, 'None', -100, 'None']","[50, 'None', 31, 'None', 118, 'None', -100, 'None']",
